algoritmo,m,n,t,tiempo_segundos,memoria_bytes,timeout,correcto,total_burgers,burgers_m,burgers_n,tiempo_restante,llamadas_recursivas,hits_cache,tamano_tabla_dp
Recursivo,1,1,5,0.000229542,0,false,true,5,5,0,0,0,0,0
Memoizacion,1,1,5,0.000253375,0,false,true,5,5,0,0,0,0,0
Dinamico,1,1,5,0.000209167,0,false,true,5,5,0,0,0,0,5
Recursivo,2,3,10,0.000002334,0,false,true,5,5,0,0,0,0,0
Memoizacion,2,3,10,0.000016042,0,false,true,5,5,0,0,0,0,0
Dinamico,2,3,10,0.000002250,0,false,true,5,5,0,0,0,0,10
Recursivo,4,9,10,0.000001333,0,false,true,2,2,0,2,0,0,0
Memoizacion,4,9,10,0.000005542,0,false,true,2,2,0,2,0,0,0
Dinamico,4,9,10,0.000001833,0,false,true,2,2,0,2,0,0,10
Recursivo,3,5,7,0.000001459,0,false,true,2,2,0,1,0,0,0
Memoizacion,3,5,7,0.000004958,0,false,true,2,2,0,1,0,0,0
Dinamico,3,5,7,0.000001417,0,false,true,2,2,0,1,0,0,7
Recursivo,1,2,0,0.000000875,0,false,true,0,0,0,0,0,0,0
Memoizacion,1,2,0,0.000001500,0,false,true,0,0,0,0,0,0,0
Dinamico,1,2,0,0.000000334,0,false,true,0,0,0,0,0,0,0
Recursivo,5,7,3,0.000000791,0,false,true,0,0,0,3,0,0,0
Memoizacion,5,7,3,0.000001041,0,false,true,0,0,0,3,0,0,0
Dinamico,5,7,3,0.000001208,0,false,true,0,0,0,3,0,0,3
Recursivo,1,4,13,0.000004292,0,false,true,13,13,0,0,0,0,0
Memoizacion,1,4,13,0.000041583,0,false,true,13,13,0,0,0,0,0
Dinamico,1,4,13,0.000002250,0,false,true,13,13,0,0,0,0,13
Recursivo,5,1,10,0.000005250,0,false,true,10,0,10,0,0,0,0
Memoizacion,5,1,10,0.000015542,0,false,true,10,0,10,0,0,0,0
Dinamico,5,1,10,0.000002125,0,false,true,10,0,10,0,0,0,10
Recursivo,1,4,24,0.000004709,0,false,true,24,24,0,0,0,0,0
Memoizacion,1,4,24,0.000044084,0,false,true,24,24,0,0,0,0,0
Dinamico,1,4,24,0.000002625,0,false,true,24,24,0,0,0,0,24
Recursivo,4,3,7,0.000002084,0,false,true,2,0,2,1,0,0,0
Memoizacion,4,3,7,0.000014125,0,false,true,2,0,2,1,0,0,0
Dinamico,4,3,7,0.000002125,0,false,true,2,0,2,1,0,0,7
Recursivo,2,3,21,0.000003333,0,false,true,10,10,0,1,0,0,0
Memoizacion,2,3,21,0.000044625,0,false,true,10,10,0,1,0,0,0
Dinamico,2,3,21,0.000002708,0,false,true,10,10,0,1,0,0,21
Recursivo,3,2,15,0.000003291,0,false,true,7,0,7,1,0,0,0
Memoizacion,3,2,15,0.000026125,0,false,true,7,0,7,1,0,0,0
Dinamico,3,2,15,0.000002792,0,false,true,7,0,7,1,0,0,15
Recursivo,4,5,5,0.000001750,0,false,true,1,1,0,1,0,0,0
Memoizacion,4,5,5,0.000006500,0,false,true,1,1,0,1,0,0,0
Dinamico,4,5,5,0.000002000,0,false,true,1,1,0,1,0,0,5
Recursivo,4,2,18,0.000003625,0,false,true,9,0,9,0,0,0,0
Memoizacion,4,2,18,0.000021625,0,false,true,9,0,9,0,0,0,0
Dinamico,4,2,18,0.000002791,0,false,true,9,0,9,0,0,0,18
Recursivo,4,2,15,0.000003000,0,false,true,7,0,7,1,0,0,0
Memoizacion,4,2,15,0.000023792,0,false,true,7,0,7,1,0,0,0
Dinamico,4,2,15,0.000002209,0,false,true,7,0,7,1,0,0,15
Recursivo,4,3,11,0.000002750,0,false,true,3,0,3,2,0,0,0
Memoizacion,4,3,11,0.000019166,0,false,true,3,0,3,2,0,0,0
Dinamico,4,3,11,0.000002333,0,false,true,3,0,3,2,0,0,11
Recursivo,1,10,15,0.000005000,0,false,true,15,15,0,0,0,0,0
Memoizacion,1,10,15,0.000032125,0,false,true,15,15,0,0,0,0,0
Dinamico,1,10,15,0.000002833,0,false,true,15,15,0,0,0,0,15
Recursivo,10,1,15,0.000004667,0,false,true,15,0,15,0,0,0,0
Memoizacion,10,1,15,0.000042500,0,false,true,15,0,15,0,0,0,0
Dinamico,10,1,15,0.000002917,0,false,true,15,0,15,0,0,0,15
Recursivo,3,3,18,0.000003083,0,false,true,6,6,0,0,0,0,0
Memoizacion,3,3,18,0.000010000,0,false,true,6,6,0,0,0,0,0
Dinamico,3,3,18,0.000003125,0,false,true,6,6,0,0,0,0,18
